│д╢╚ m	0бу	30бу	60бу	90бу	120бу	150бу	180бу	

[	q = 141120	]
6.45722	-0.01468	-0.01621	-0.0189	-0.01903	-0.01507	-0.00958	-0.00702	
6.54219	-0.01716	-0.01871	-0.02145	-0.02167	-0.01782	-0.01242	-0.00991	
6.62715	-0.01953	-0.02109	-0.02389	-0.02421	-0.02048	-0.01518	-0.0127	
6.71211	-0.02179	-0.02338	-0.02624	-0.02665	-0.02304	-0.01784	-0.0154	
6.79708	-0.02396	-0.02556	-0.02849	-0.02901	-0.02552	-0.02043	-0.01803	
6.88204	-0.02602	-0.02765	-0.03064	-0.03128	-0.02792	-0.02293	-0.02057	
6.967	-0.028	-0.02965	-0.03272	-0.03346	-0.03024	-0.02536	-0.02304	
7.05197	-0.02989	-0.03157	-0.03471	-0.03557	-0.03248	-0.02772	-0.02544	
7.13693	-0.03169	-0.03339	-0.03661	-0.0376	-0.03466	-0.03	-0.02777	
7.22189	-0.03341	-0.03514	-0.03844	-0.03956	-0.03676	-0.03222	-0.03004	
7.30686	-0.03505	-0.03681	-0.0402	-0.04145	-0.0388	-0.03438	-0.03224	
7.39182	-0.03661	-0.03841	-0.04189	-0.04327	-0.04077	-0.03647	-0.03438	
7.47679	-0.03811	-0.03993	-0.0435	-0.04503	-0.04268	-0.03851	-0.03646	
7.56175	-0.03953	-0.04139	-0.04505	-0.04672	-0.04453	-0.04048	-0.03848	
7.64671	-0.04088	-0.04277	-0.04654	-0.04835	-0.04632	-0.0424	-0.04045	
7.73167	-0.04217	-0.04409	-0.04796	-0.04993	-0.04806	-0.04427	-0.04237	
7.81664	-0.04339	-0.04535	-0.04932	-0.05144	-0.04975	-0.04608	-0.04423	
7.9016	-0.04455	-0.04655	-0.05063	-0.0529	-0.05138	-0.04785	-0.04605	
7.98657	-0.04564	-0.04769	-0.05187	-0.05431	-0.05296	-0.04956	-0.04781	
8.07153	-0.04668	-0.04876	-0.05306	-0.05566	-0.05449	-0.05123	-0.04953	
8.15649	-0.04766	-0.04978	-0.0542	-0.05697	-0.05597	-0.05285	-0.0512	
8.24146	-0.04859	-0.05075	-0.05528	-0.05822	-0.0574	-0.05442	-0.05283	
8.32642	-0.0381	-0.04037	-0.04514	-0.04832	-0.04766	-0.04472	-0.04313	
8.41138	-0.02486	-0.02723	-0.03225	-0.03566	-0.0351	-0.03216	-0.03056	
8.49635	-0.01181	-0.01428	-0.01951	-0.0231	-0.0226	-0.01963	-0.018	
8.58131	0.001	-0.00155	-0.00695	-0.01068	-0.01019	-0.00716	-0.00548	
8.66627	0.01354	0.01093	0.00538	0.00157	0.00209	0.00522	0.00695	
8.75124	0.02579	0.02312	0.01748	0.01362	0.01422	0.01748	0.01927	
8.8362	0.03769	0.03499	0.02928	0.02544	0.02617	0.0296	0.03146	
8.92116	0.0492	0.04648	0.04076	0.037	0.03792	0.04156	0.04352	
9.00613	0.06028	0.05756	0.05189	0.04829	0.04947	0.05336	0.05542	
9.09109	0.0709	0.06822	0.06266	0.05929	0.06079	0.06499	0.06718	
9.17605	0.08106	0.07842	0.07304	0.06998	0.0719	0.07645	0.07879	
9.26102	0.09073	0.08817	0.08303	0.08038	0.08279	0.08776	0.09025	
9.34598	0.09993	0.09747	0.09265	0.09049	0.09347	0.09891	0.10158	
9.43095	0.10866	0.10634	0.10189	0.10033	0.10397	0.10992	0.1128	
9.51591	0.11694	0.11478	0.1108	0.10991	0.11429	0.12083	0.12392	
9.60087	0.12481	0.12283	0.11938	0.11927	0.12447	0.13164	0.13498	
9.68583	0.13229	0.13053	0.12769	0.12843	0.13453	0.14239	0.14598	
9.7708	0.13945	0.13793	0.13575	0.13744	0.14452	0.15311	0.15698	
9.85576	0.14633	0.14507	0.14363	0.14634	0.15446	0.16384	0.16799	
9.94073	0.15298	0.15201	0.15136	0.15517	0.1644	0.1746	0.17905	
10.0257	0.15947	0.15882	0.15901	0.16398	0.17438	0.18543	0.1902	
10.1107	0.16587	0.16554	0.16663	0.17281	0.18443	0.19637	0.20147	
10.1956	0.17223	0.17225	0.17427	0.18172	0.19459	0.20745	0.21288	
10.2806	0.17863	0.179	0.18199	0.19075	0.20491	0.21871	0.22448	
10.3655	0.09733	0.10053	0.11081	0.12846	0.15028	0.1689	0.17627	
10.4505	0.08934	0.09249	0.10261	0.12	0.14151	0.15986	0.16713	
10.5355	0.0817	0.0848	0.09474	0.11184	0.13301	0.15109	0.15825	
10.6204	0.07438	0.07741	0.08716	0.10395	0.12477	0.14256	0.14961	
10.7054	0.06734	0.0703	0.07983	0.0963	0.11675	0.13425	0.14118	
10.7904	0.06055	0.06343	0.07273	0.08886	0.10893	0.12613	0.13295	
10.8753	0.05399	0.05678	0.06584	0.08161	0.1013	0.11819	0.1249	
10.9603	0.04763	0.05033	0.05914	0.07455	0.09384	0.11043	0.11702	
11.0453	0.04146	0.04407	0.05262	0.06765	0.08654	0.10281	0.10929	
11.1302	0.03545	0.03797	0.04626	0.06091	0.07939	0.09535	0.1017	
11.2152	0.02961	0.03204	0.04006	0.05431	0.07238	0.08802	0.09426	
11.3001	0.02392	0.02625	0.03399	0.04785	0.0655	0.08082	0.08694	
11.3851	0.01836	0.02059	0.02806	0.04152	0.05875	0.07375	0.07975	
11.4701	0.01294	0.01507	0.02225	0.03532	0.05212	0.06681	0.07268	
11.555	0.00764	0.00967	0.01657	0.02923	0.04562	0.05998	0.06573	
11.64	0.00245	0.00438	0.011	0.02326	0.03922	0.05326	0.05889	
11.725	-0.00262	-0.00079	0.00555	0.0174	0.03294	0.04666	0.05217	
11.8099	-0.00758	-0.00586	0.0002	0.01165	0.02677	0.04016	0.04555	
11.8949	-0.01244	-0.01082	-0.00505	0.006	0.0207	0.03377	0.03905	
11.9798	-0.0172	-0.01568	-0.01019	0.00046	0.01474	0.02749	0.03265	
12.0648	-0.02187	-0.02044	-0.01523	-0.00498	0.00888	0.02132	0.02635	
12.1498	-0.02644	-0.02511	-0.02018	-0.01033	0.00312	0.01524	0.02016	
